part_used,part_name,,,,,,,,,,,,,,,,,,
DUNTKG949FM05,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH148FM01,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
B3KUGA41A3,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUKBD12I,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUYAD12I,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH335FM01,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH323FM01,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH323FM03,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH343FM01,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
RUNTKC256WJQZ,LED_IR_UNIT,,,,,,,,,,,,,,,,,,
9JDA3QQ14QFM0,LED_MODULE,,,,,,,,,,,,,,,,,,
9JDA3UA07XFM0,LED_MODULE,,,,,,,,,,,,,,,,,,
RLED50L440/1M,LED_MODULE,,,,,,,,,,,,,,,,,,
9JD1561T00008,LED_UNIT,,,,,,,,,,,,,,,,,,
9JD1561T00009,LED_UNIT,,,,,,,,,,,,,,,,,,
RUNTKB284/M,LED_UNIT,,,,,,,,,,,,,,,,,,
RUNTKB346WJQZ,LED_UNIT,,,,,,,,,,,,,,,,,,
QCNW-Q918WJPZ,LED_WIRE,,,,,,,,,,,,,,,,,,
PGIDMA122WJN1,LIGHT_GUIDE_PLATE,,,,,,,,,,,,,,,,,,
PGIDMA141WJN1,LIGHT_GUIDE_PLATE,,,,,,,,,,,,,,,,,,
KSETLB343WJZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R214WJN1,LVDS_WIRE,,,,,,,,,,,,,,,,,,
3044510545E,LVDS_WIRE,,,,,,,,,,,,,,,,,,
3044510550T,LVDS_WIRE,,,,,,,,,,,,,,,,,,
30445105751+,LVDS_WIRE,,,,,,,,,,,,,,,,,,
9ACID5505301,LVDS_WIRE,,,,,,,,,,,,,,,,,,
9ACID550545E,LVDS_WIRE,,,,,,,,,,,,,,,,,,
9ACID55AA291,LVDS_WIRE,,,,,,,,,,,,,,,,,,
9ACID55LVD001,LVDS_WIRE,,,,,,,,,,,,,,,,,,
9ACID55LVD002,LVDS_WIRE,,,,,,,,,,,,,,,,,,
9ACID7505751,LVDS_WIRE,,,,,,,,,,,,,,,,,,
KSETLB345WJZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
KSETLB469WJZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
KSETLB662WJZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-K994WJQZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWM466WJN2,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-M466WJN2,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N178WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWN2731TPZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N433WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N436WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N439WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWN481WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N481WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N555WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWN556WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWN561WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N561WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N588WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWN704WJN1,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N704WJN1,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWN877WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-N877WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P183WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWP190WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P190WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P227WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P257WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P415WJN2,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P893WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P930WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNWP931WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P931WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P933WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P935WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P951WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P964WJN1,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-P964WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q225WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q443WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q546WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q695WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q710WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q763WJZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q804WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-Q850WJZZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R027WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R029WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R097WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R200WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R201WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R203WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R212WJN1,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R212WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R215WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R266WJN1,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R382WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R384WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R425WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R684WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R726WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R782WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
QCNW-R794WJPZ,LVDS_WIRE,,,,,,,,,,,,,,,,,,
